ID,class
Zm00001d033142,0
Zm00001d033144,0
Zm00001d033146,0
Zm00001d033147,0
Zm00001d033148,0
Zm00001d033149,0
Zm00001d033152,0
Zm00001d033153,0
Zm00001d033155,0
Zm00001d033158,0
Zm00001d033159,0
Zm00001d033160,0
Zm00001d033166,0
Zm00001d033167,0
Zm00001d033168,0
Zm00001d033170,0
Zm00001d033171,0
Zm00001d033172,0
Zm00001d033174,0
Zm00001d033175,0
Zm00001d033180,1
Zm00001d033181,0
Zm00001d033187,0
Zm00001d033188,0
Zm00001d033189,0
Zm00001d033190,0
Zm00001d033194,0
Zm00001d033205,0
Zm00001d033206,0
Zm00001d033207,0
Zm00001d033208,0
Zm00001d033210,0
Zm00001d033211,0
Zm00001d033214,0
Zm00001d033215,0
Zm00001d033216,0
Zm00001d033217,0
Zm00001d033218,0
Zm00001d033219,0
Zm00001d033222,0
Zm00001d033223,0
Zm00001d033224,0
Zm00001d033225,0
Zm00001d033228,0
