ID,class
Zm00001d052423,0
Zm00001d052425,0
Zm00001d052426,0
Zm00001d052430,0
Zm00001d052431,0
Zm00001d052432,0
Zm00001d052433,0
Zm00001d052434,0
Zm00001d052435,0
Zm00001d052436,0
Zm00001d052437,0
Zm00001d052438,0
Zm00001d052439,0
Zm00001d052442,0
Zm00001d052443,0
Zm00001d052444,0
Zm00001d052445,0
Zm00001d052447,0
Zm00001d052449,0
Zm00001d052450,0
Zm00001d052452,0
Zm00001d052453,0
Zm00001d052457,0
Zm00001d052458,0
Zm00001d052462,0
Zm00001d052463,0
Zm00001d052464,0
Zm00001d052467,0
Zm00001d052472,0
Zm00001d052473,0
Zm00001d052474,0
Zm00001d052475,0
Zm00001d052476,0
Zm00001d052478,0
Zm00001d052481,0
Zm00001d052482,0
Zm00001d052483,0
Zm00001d052485,0
Zm00001d052489,0
Zm00001d052492,0
Zm00001d052493,0
Zm00001d052494,0
Zm00001d052495,0
Zm00001d052496,0
Zm00001d052498,0
Zm00001d052499,0
Zm00001d052501,0
Zm00001d052519,0
Zm00001d052520,0
Zm00001d052523,0
Zm00001d052525,0
Zm00001d052528,0
Zm00001d052533,0
Zm00001d052537,0
Zm00001d052538,0
Zm00001d052540,0
Zm00001d052541,0
Zm00001d052543,0
Zm00001d052544,0
Zm00001d052551,0
Zm00001d052552,0
Zm00001d052553,0
Zm00001d052554,0
Zm00001d052555,0
Zm00001d052556,0
Zm00001d052561,0
Zm00001d052562,0
Zm00001d052564,0
Zm00001d052565,0
Zm00001d052566,0
Zm00001d052567,0
Zm00001d052568,0
Zm00001d052569,0
Zm00001d052570,0
Zm00001d052579,0
Zm00001d052581,0
Zm00001d052584,0
Zm00001d052586,0
Zm00001d052587,0
Zm00001d052588,0
Zm00001d052589,0
Zm00001d052590,0
Zm00001d052591,0
Zm00001d052592,0
Zm00001d052593,0
Zm00001d052595,0
Zm00001d052598,1
Zm00001d052602,0
Zm00001d052612,0
Zm00001d052613,0
Zm00001d052615,0
Zm00001d052616,0
Zm00001d052619,0
Zm00001d052620,0
Zm00001d052621,0
Zm00001d052622,0
Zm00001d052624,0
Zm00001d052625,0
Zm00001d052627,0
Zm00001d052628,0
Zm00001d052632,0
Zm00001d052636,0
Zm00001d052638,0
Zm00001d052639,0
Zm00001d052640,0
Zm00001d052648,0
Zm00001d052651,0
Zm00001d052653,0
Zm00001d052655,0
Zm00001d052656,0
Zm00001d052660,0
Zm00001d052665,0
Zm00001d052666,0
Zm00001d052667,0
Zm00001d052673,0
Zm00001d052675,0
Zm00001d052676,0
Zm00001d052680,0
Zm00001d052683,0
Zm00001d052684,0
Zm00001d052687,0
Zm00001d052688,0
Zm00001d052689,0
Zm00001d052690,0
Zm00001d052691,0
Zm00001d052692,0
Zm00001d052693,0
Zm00001d052694,0
Zm00001d052695,0
Zm00001d052698,0
Zm00001d052699,0
Zm00001d052700,0
Zm00001d052701,0
Zm00001d052702,0
Zm00001d052705,0
Zm00001d052706,0
Zm00001d052708,0
Zm00001d052709,0
Zm00001d052713,0
Zm00001d052714,0
Zm00001d052715,0
Zm00001d052717,0
Zm00001d052718,0
Zm00001d052719,0
Zm00001d052720,0
Zm00001d052725,0
Zm00001d052726,0
Zm00001d052727,0
Zm00001d052728,0
Zm00001d052729,0
Zm00001d052730,0
Zm00001d052731,0
Zm00001d052732,0
Zm00001d052735,0
Zm00001d052738,0
Zm00001d052741,0
Zm00001d052742,0
Zm00001d052743,0
Zm00001d052744,0
Zm00001d052745,0
Zm00001d052746,0
Zm00001d052748,0
Zm00001d052749,0
Zm00001d052750,0
Zm00001d052753,0
Zm00001d052756,0
Zm00001d052760,0
Zm00001d052763,0
Zm00001d052765,0
Zm00001d052768,0
Zm00001d052769,0
Zm00001d052770,0
Zm00001d052773,0

